2025-03-24 10:27:35 - Order BUY 1149.0 of YESBANK-EQ at 17.41: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000411137', 'uniqueorderid': '08356269-b78b-4208-81e3-aa0c0e648055'}}
2025-03-24 10:39:55 - Order BUY 1147.0 of YESBANK-EQ at 17.43: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000452387', 'uniqueorderid': '84fd7c66-c1dc-4e9b-9e67-057b749ad3cc'}}
2025-03-24 10:40:52 - Order BUY 1147.0 of YESBANK-EQ at 17.43: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000455080', 'uniqueorderid': 'af6d4585-92bb-4182-9421-799eef7f48a4'}}
2025-03-24 10:40:56 - Order BUY 1148.0 of YESBANK-EQ at 17.42: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000455240', 'uniqueorderid': '7259fedb-f624-4882-acaf-9d9a84380698'}}
2025-03-24 12:29:44 - Order BUY 2663.0 of IDEA-EQ at 7.51: None
2025-03-24 12:29:45 - Order BUY 2667.0 of IDEA-EQ at 7.5: None
2025-03-24 12:29:48 - Order BUY 2663.0 of IDEA-EQ at 7.51: None
2025-03-24 12:29:49 - Order BUY 2667.0 of IDEA-EQ at 7.5: None
2025-03-24 12:29:51 - Order BUY 2667.0 of IDEA-EQ at 7.5: None
2025-03-24 12:29:54 - Order BUY 2667.0 of IDEA-EQ at 7.5: None
2025-03-24 12:29:54 - Order BUY 2667.0 of IDEA-EQ at 7.5: None
2025-03-24 12:29:54 - Order BUY 2667.0 of IDEA-EQ at 7.5: None
2025-03-24 12:33:58 - Order BUY 1146.0 of YESBANK-EQ at 17.45: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747238', 'uniqueorderid': 'cf626b8a-c052-4c0f-ac42-f93f87d0ae7c'}}
2025-03-24 12:33:59 - Order BUY 1146.0 of YESBANK-EQ at 17.45: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747272', 'uniqueorderid': '3055e685-a9c8-4754-9e37-c3428bb7ec0e'}}
2025-03-24 12:34:00 - Order BUY 1146.0 of YESBANK-EQ at 17.45: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747320', 'uniqueorderid': '6aa62bc8-4adb-4aa6-a2d5-5fac6a3c37e8'}}
2025-03-24 12:34:02 - Order BUY 1147.0 of YESBANK-EQ at 17.44: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747399', 'uniqueorderid': 'a5b72141-9688-4394-8bd9-575a4317c615'}}
2025-03-24 12:34:04 - Order BUY 1147.0 of YESBANK-EQ at 17.44: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747450', 'uniqueorderid': '78c1b306-a77b-4012-a384-d066306c59dd'}}
2025-03-24 12:34:05 - Order BUY 1147.0 of YESBANK-EQ at 17.44: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747485', 'uniqueorderid': 'ac7dfb6d-b9ed-4eff-8fa6-4265adab7027'}}
2025-03-24 12:34:08 - Order BUY 1147.0 of YESBANK-EQ at 17.44: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747579', 'uniqueorderid': '188f4abf-ac3a-4bb8-a3a3-2007cd25fc9e'}}
2025-03-24 12:34:08 - Order BUY 1146.0 of YESBANK-EQ at 17.45: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747583', 'uniqueorderid': '4e0e8e69-2a66-49c9-90e5-8e354c327ba9'}}
2025-03-24 12:34:08 - Order BUY 1146.0 of YESBANK-EQ at 17.45: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747585', 'uniqueorderid': '79455302-65f9-48b4-9e51-84e37d831fdc'}}
2025-03-24 12:34:09 - Order BUY 1146.0 of YESBANK-EQ at 17.45: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'script': 'YESBANK-EQ', 'orderid': '250324000747632', 'uniqueorderid': '846dfe0c-a4b4-4357-a8f9-9384f4bd9195'}}
