[E 250307 10:15:41 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:41 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:43 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:45 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:47 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:49 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:51 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:54 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:55 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:57 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 250307 10:15:59 smartConnect:259] Error occurred while making a GET request to https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding. Error: Invalid Token. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/portfolio/v1/getAllHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '6a:e0:7a:cc:09:b3', 'Accept': 'application/json', 'X-PrivateKey': '8mCgbjiE', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
